step times epsilon,SsvTraining,SsvTestingAll,SsvTestingUsv
0.0,0.4891412668697807,0.4847897806090774,0.48370190904390153
0.01,0.49445551853479686,0.4891165201946317,0.48778177060959044
0.02,0.4998386378974445,0.4935255107076522,0.49194722891020415
0.03,0.5052886563478274,0.4980156816124825,0.4961974379286463
0.04,0.5108034099096888,0.5025857563265611,0.5005313429307792
0.05,0.5163805382474641,0.5072342479782576,0.504947675410956
0.060000000000000005,0.5220174848025112,0.5119594562352165,0.5094449490933929
0.07,0.5277114981249083,0.5167594652923667,0.5140214570842314
0.08,0.5334596344573429,0.5216321431006682,0.5186752702614995
0.09,0.5392587616161684,0.5265751419078051,0.5234042369807143
0.09999999999999999,0.5451055642017806,0.5315859001703993,0.528205984162554
0.10999999999999999,0.5509965501562496,0.5366616458840587,0.5330779198160109
0.11999999999999998,0.5569280586707762,0.5417994013628276,0.5380172370358404
0.12999999999999998,0.5628962694292627,0.5469959894835367,0.5430209194971052
0.13999999999999999,0.568897213157386,0.5522480413934142,0.5480857484524213
0.15,0.5749267834293075,0.5575520056614348,0.5532083112194666
0.16,0.5809807496668671,0.562904158835448,0.5583850111275932
0.17,0.587054771249165,0.568300617348633,0.5636120788735001
0.18000000000000002,0.5931444126341388,0.5737373507004937,0.5688855852170824
0.19000000000000003,0.5992451593784855,0.579210195819918,0.5742014549302761
0.20000000000000004,0.6053524349283694,0.5847148725010682,0.5795554818942429
0.21000000000000005,0.6114616180411255,0.5902469997874565,0.5849433452240392
0.22000000000000006,0.6175680606879184,0.5958021131658252,0.590360626285302
0.23000000000000007,0.6236671062792617,0.6013756824196654,0.5958028264547663
0.24000000000000007,0.6297541080496739,0.6069631299827112,0.6012653854659705
0.25000000000000006,0.6358244474346627,0.6125598496256554,0.6067437001734035
0.26000000000000006,0.6418735522727977,0.6181612253049127,0.6122331435629415
0.2700000000000001,0.6478969146678418,0.6237626500005207,0.6177290838336903
0.2800000000000001,0.6538901083507388,0.6293595443712912,0.6232269033764293
0.2900000000000001,0.6598488053885911,0.6349473750590439,0.628722017476657
0.3000000000000001,0.6657687920974207,0.6405216724801258,0.6342098925758021
0.3100000000000001,0.6716459840272859,0.6460780479511566,0.6396860639321243
0.3200000000000001,0.6774764399019445,0.6516122100070088,0.6451461525332748
0.3300000000000001,0.6832563744104043,0.6571199797819591,0.6505858811248478
0.34000000000000014,0.6889821697640641,0.6625973053396254,0.6560010892335156
0.35000000000000014,0.6946503859503316,0.6680402748532166,0.6613877470789378
0.36000000000000015,0.7002577696312974,0.6734451285545636,0.6667419682853802
0.37000000000000016,0.7058012616538473,0.6788082693879248,0.6720600213214443
0.38000000000000017,0.711278003155176,0.6841262723223004,0.6773383396140814
0.3900000000000002,0.7166853402647291,0.6893958922936748,0.6825735303009112
0.4000000000000002,0.7220208274197865,0.6946140707658245,0.6877623816023339
0.4100000000000002,0.7272822293270451,0.6997779409148203,0.692901868811764
0.4200000000000002,0.732467521616341,0.7048848314578632,0.6979891589182436
0.4300000000000002,0.7375748902450078,0.7099322691613985,0.7030216138904961
0.4400000000000002,0.7426027297220654,0.7149179800763092,0.7079967926648701
0.45000000000000023,0.7475496402304663,0.7198398895594039,0.7129124518916383
0.46000000000000024,0.752414423732932,0.724696121150097,0.7177665455043881
0.47000000000000025,0.7571960791524639,0.7294849943792947,0.7225572231860024
0.48000000000000026,0.7618937967225049,0.7342050215938529,0.72728282781169
0.49000000000000027,0.7665069516039775,0.7388549038847141,0.7319418919548982
0.5000000000000002,0.7710350968671662,0.7434335262099815,0.7365331335456853
0.5100000000000002,0.7754779559357605,0.7479399518057975,0.7410554507733068
0.5200000000000002,0.7798354145884515,0.7523734159781539,0.7455079163255794
0.5300000000000002,0.7841075126104524,0.756733319367723,0.7498897710570407
