deltaList,SsvTrainingMeanList,SsvTestingAllMeanList,SsvTestingUsvMeanList
0.0,0.9979740075111593,0.9946855115950702,0.9938633876160481
0.1,0.9815509925045077,0.9698820908271074,0.9669648654077573
0.2,0.9216313682127246,0.8732925932003243,0.8612078994472242
0.3,0.7958085884976231,0.6609559082096563,0.6272427381376648
0.4,0.6514584715475354,0.3748742918326778,0.3057282469039634
0.5,0.5810384551629497,0.2335356706084025,0.14665997446976572
0.6,0.5678702293544687,0.21194498193526695,0.12296367008046656
0.7,0.5572288197858916,0.21086799555776628,0.12427778950073498
0.8,0.5575863681077784,0.21102351543309888,0.12438280226442892
0.9,0.5474018247785895,0.210589079337892,0.12638589297771757
1.0,0.5458613587050657,0.20769356153908483,0.1231516122475896
