deltaList,SsvTrainingMeanList,SsvTestingAllMeanList,SsvTestingUsvMeanList
0.0,0.9812016498429864,0.9685052472261673,0.9653311465719623
0.1,0.9661582970542921,0.9482352458582867,0.9437544830592854
0.2,0.9025805060083829,0.869886026881675,0.861712407099998
0.3,0.6452883152946679,0.5315602591765272,0.5031282451469917
0.4,0.47716969298244766,0.3364031437805367,0.301211506480059
0.5,0.43745922756010885,0.29826191603637636,0.26346258815544327
0.6,0.4122700590832407,0.2853913509754042,0.2536716739484451
0.7,0.43511769328393407,0.2967460961387812,0.26215319685249294
0.8,0.45723611545719683,0.291104567148203,0.24957168007095437
0.9,0.44737699987535634,0.2945317170365979,0.25632039632690834
1.0,0.41620023326154165,0.2806912611846044,0.2468140181653701
