deltaList,SsvTrainingMeanList,SsvTestingAllMeanList,SsvTestingUsvMeanList
0.0,0.9980826307284071,0.9973348755458622,0.9971479367502262
0.1,0.9860872694713432,0.984449059659388,0.984039507206399
0.2,0.9435033595425926,0.9376336741427045,0.9361662527927324
0.3,0.8594285763254013,0.8388811217320369,0.8337442580836958
0.4,0.7057085061550465,0.6545634276334191,0.6417771580030124
0.5,0.6784656111698334,0.5401746321517903,0.5056018873972795
0.6,0.6672876539436048,0.53879019200482,0.506665826520124
0.7,0.645573310414585,0.5206273731099019,0.48939088878373116
0.8,0.658396128833859,0.5238754370308067,0.49024526408004354
0.9,0.6346593553353097,0.5162092572496013,0.48659673272817433
1.0,0.6421899630689348,0.530211473538752,0.5022168511562063
