deltaList,SsvTrainingMeanList,SsvTestingAllMeanList,SsvTestingUsvMeanList
0.0,0.9993489908814885,0.9987675411136336,0.9986221786716699
0.1,0.988213092089247,0.9850945744031302,0.9843149449816011
0.2,0.9435714050582401,0.9359935971853227,0.9340991452170935
0.3,0.8247470369543081,0.8002065401110681,0.794071415900258
0.4,0.7197743699534873,0.634404465453318,0.6130619893282756
0.5,0.6405851905220395,0.5297131958482091,0.5019951971797515
0.6,0.6128721836614854,0.513760867046239,0.4889830378924273
0.7,0.6497393168909387,0.5227146799487256,0.49095852071317214
0.8,0.6516155269676295,0.5428597718434701,0.5156708330624302
0.9,0.6584652413166833,0.5427566177106872,0.5138294618091883
1.0,0.6380118694210415,0.5193040882817322,0.489627142996905
