deltaList,SsvTrainingMeanList,SsvTestingAllMeanList,SsvTestingUsvMeanList
0.0,0.9988423524604423,0.9981828991023523,0.9980180357628298
0.1,0.982857129227258,0.978896114993419,0.9779058614349594
0.2,0.9213713196847266,0.8995944700145733,0.894150257597035
0.3,0.795082666328977,0.7483382313363686,0.7366521225882164
0.4,0.6349280166227079,0.4841909993314338,0.4465067450086152
0.5,0.54225662530031,0.3209437471355207,0.26561552759432344
0.6,0.5307582564067941,0.3036019793971652,0.24681291014475804
0.7,0.5385717359303689,0.30688207514253196,0.24895965994557265
0.8,0.5385478428592607,0.30883165828788145,0.25140261214503656
0.9,0.5347856101646733,0.3021293328991347,0.2439652635827501
1.0,0.5488269336961213,0.3105800395441512,0.25101831600615865
