numberSupervisedPairsList,SsvTrainingMeanList,SsvTestingAllMeanList,SsvTestingUsvMeanList
1,0.9999674331978925,0.5713618987190846,0.5670325498859653
2,0.9956440280539723,0.848729764067721,0.8457315137822874
3,0.9967757161921222,0.9678869394520382,0.9669934721301796
4,0.9971616051163886,0.9825541901572817,0.9819455478673189
5,0.9987035156528812,0.9946614026785326,0.9944486598904089
6,0.9982758481135058,0.9941458042590401,0.9938821844385423
7,0.9983054195117924,0.9966180970980758,0.996491094335753
8,0.9966870716533276,0.9938081112208564,0.9935577668354243
9,0.9977293020574507,0.9964262454416739,0.9962973717104433
10,0.9983915869457144,0.9971500602376592,0.9970121128256529
11,0.9977513885724534,0.9963603179104664,0.9961883878286478
12,0.9984363047633913,0.996915120596862,0.9967076863923353
13,0.9989764815083199,0.9984343160693816,0.9983533028428736
14,0.9990833146713538,0.9988354908747749,0.9987951474660294
15,0.9989347330293183,0.9985339355970178,0.9984632066383765
16,0.9993722284088756,0.999040034071815,0.9989767589599937
17,0.9991090204888154,0.9988270395178045,0.9987692843791638
18,0.9988634693747536,0.9984529723275803,0.9983628632196642
19,0.9989826675045738,0.9988510684653658,0.9988201995549343
20,0.9989381613668422,0.9987368384762381,0.9986865077535867
