numberSupervisedPairsList,SsvTrainingMeanList,SsvTestingAllMeanList,SsvTestingUsvMeanList
1,0.9994788566263804,0.2817742119912761,0.274524670126275
2,0.9985611073168652,0.42283935417753504,0.41108993064407945
3,0.995043147490199,0.5970311572863827,0.5847215081048212
4,0.9947129200311846,0.7944773501795611,0.7861342014357434
5,0.9923891908888505,0.8784293799513938,0.8724314951652117
6,0.9966865928909225,0.9716466527878651,0.9700483587387337
7,0.9956114988323208,0.9693303406207919,0.9673521889274511
8,0.9970213302426565,0.9858830920854246,0.9849145496369698
9,0.9981855163379156,0.9909237921440047,0.9902055996413104
10,0.9969717688787908,0.9883327229940354,0.9873728290068404
11,0.9985528121561632,0.9960127060125739,0.9956987603094337
12,0.9986397008841396,0.9965113925667481,0.9962211687052858
13,0.9986286774047919,0.9963881130965184,0.9960533161309142
14,0.9982333292203011,0.9961007046400054,0.9957535331967016
15,0.9988574797723897,0.9977864926027855,0.997597494866973
16,0.9991571444968959,0.998500688502982,0.9983756492660462
17,0.999182904397877,0.9985595979705713,0.9984319327987136
18,0.9994609807841737,0.9990910346627391,0.9990098269775463
19,0.9990675600586807,0.9986034291336141,0.9984945589166232
20,0.9991453283391311,0.9986836095450627,0.9985681798465459
21,0.9992494198136882,0.9988616712256926,0.9987585988162255
22,0.9991331452500629,0.9987380460010475,0.9986266077513255
23,0.9988297471987183,0.9981923102703899,0.998001907032058
24,0.9995624784300896,0.9993435121055907,0.9992743648452228
25,0.9990500707614511,0.9987015258338461,0.998585344191311
26,0.9995069769643653,0.9993352751810562,0.9992749475274607
27,0.9989624654640391,0.9985616793099966,0.9984134433352135
28,0.9996617932516341,0.9995218716951951,0.99946745775658
29,0.9994417585451203,0.9990981338070801,0.9989577800408386
30,0.9994475233095994,0.9992871585685059,0.999218430822323
31,0.9992153346517195,0.9989938101559461,0.998894284657845
32,0.9995056825780498,0.9993750526018698,0.9993135796719027
33,0.9992012611152464,0.99899399861051,0.9988919140932516
34,0.9994594792510391,0.9993155132991932,0.9992413490209696
35,0.998899274108499,0.9985941395972471,0.9984298363988808
36,0.9992962647360292,0.999050635885299,0.9989124696567634
37,0.9991766735329947,0.9989192052725155,0.9987679937544561
38,0.9995884586454548,0.9995274714734066,0.9994900922389253
39,0.9996823610149954,0.9996221204187645,0.999583605939207
40,0.9994329885484801,0.9993549210416474,0.9993028760370926
41,0.9991388104829593,0.9990063846630687,0.998914359940772
42,0.9996934458044558,0.9996297270974583,0.9995835859648047
43,0.9996049764903245,0.9995764637071979,0.9995549540637864
44,0.9995972240363761,0.999518238025747,0.999456177588824
45,0.999528757619,0.9994850027937938,0.9994492033913518
46,0.9995482489707015,0.9994726535180772,0.999408257391768
47,0.9994740082905527,0.9993719791385495,0.9992815004565848
48,0.999586753578436,0.9995511176824964,0.9995182230093216
49,0.9995390338719519,0.9995064368908745,0.9994751182227803
50,0.9993597429885457,0.9992803553306289,0.999200967672712
51,0.9992556914523636,0.9991592190662397,0.9990588090317024
52,0.9991465676454594,0.999075959814513,0.9989994679976546
53,0.9995946925289096,0.9995234696659991,0.999443154522717
54,0.9995235900794649,0.9994760818867761,0.9994203113997064
55,0.9995551670627177,0.9995187146749922,0.9994741617566614
56,0.999416362419954,0.9993464555127863,0.9992574830854817
57,0.9994684024464219,0.9994275475605343,0.9993733910838924
58,0.9994601830488078,0.9994149561780293,0.9993525000231444
59,0.999232448814001,0.9991833324275723,0.9991126527495403
60,0.9995065182203249,0.9994629745813697,0.9993976591229365
