numberSupervisedPairsList,SsvTrainingMeanList,SsvTestingAllMeanList,SsvTestingUsvMeanList
1,0.9999642798846345,0.1436919173930477,0.13504270161030443
2,0.9992908804790531,0.18900055323129786,0.17246401594052735
3,0.9993639497317183,0.24517817107143883,0.2218528377108116
4,0.9983221703864175,0.34859470213628607,0.3215227242925306
5,0.9971352972603093,0.4752089114819693,0.44773910170416187
6,0.9963242354892143,0.5901663182153721,0.5642413447723609
7,0.9940803698666223,0.6838336008698315,0.660481693525987
8,0.9917079324882996,0.7622828178861125,0.7423328079207049
9,0.9924250618685682,0.8380374052349332,0.8227682963371011
10,0.9924008296604395,0.8724262908321803,0.8590957865179293
11,0.9907101968097759,0.9082745830094288,0.8980859116408466
12,0.9936473414450244,0.940555152315069,0.9333153083428025
13,0.9935022178184892,0.9503526938650401,0.9439050638490073
14,0.9945563973750182,0.9641548601062633,0.959205772643908
15,0.9961477446331364,0.9807107104583176,0.9779865279568792
16,0.9966783351173645,0.9863768251077589,0.9844146327249769
17,0.9972316115926103,0.9892604914361829,0.9876278523679988
18,0.9974204517923695,0.9912851408481643,0.9899383652750462
19,0.9975319962573785,0.9936043935531327,0.9926831040299146
20,0.9979148071584264,0.9943562272822577,0.9934665823132154
